,s1,s2,s3,s4,s5,s6,s7,s8,s9,frameID,sens_timestamp,x,y,z,isLeft,GT_timestamp
0,1000,1000,1000,1000,1000,118,1000,168,125,73,151075513091606,-10000,-10000,-10000,0,1510755130880542
1,1000,144,85,1000,114,105,1000,121,124,74,151075513094856,-10000,-10000,-10000,0,1510755130932689
2,1000,76,99,1000,107,84,145,120,1000,75,151075513098010,-10000,-10000,-10000,0,1510755130967263
3,1000,95,0,108,87,1000,115,158,1000,76,151075513102791,-10000,-10000,-10000,0,1510755131019315
4,87,74,1000,96,80,1000,104,199,1000,77,151075513105997,-10000,-10000,-10000,0,1510755131054075
5,90,113,1000,75,1000,1000,101,1000,1000,78,151075513110792,-10000,-10000,-10000,0,1510755131088819
6,83,1000,1000,73,1000,1000,83,1000,1000,79,151075513113981,-10000,-10000,-10000,0,1510755131123392
7,73,1000,1000,80,127,1000,79,181,1000,80,151075513117167,-10000,-10000,-10000,0,1510755131158128
8,105,1000,1000,93,96,1000,75,86,1000,81,151075513121972,-10000,-10000,-10000,0,1510755131210136
9,135,73,1000,78,71,1000,72,75,1000,82,151075513125173,-10000,-10000,-10000,0,1510755131244837
10,109,114,1000,65,99,98,64,87,85,83,151075513129948,-10000,-10000,-10000,0,1510755131279600
11,96,141,116,72,77,81,87,94,72,84,151075513133156,-10000,-10000,-10000,0,1510755131314296
12,1000,108,1000,125,68,84,1000,93,78,85,151075513136360,-10000,-10000,-10000,0,1510755131348953
13,1000,1000,94,1000,62,95,1000,91,86,86,151075513141157,-10000,-10000,-10000,0,1510755131400908
14,1000,1000,133,1000,78,104,1000,93,96,87,151075513144347,-10000,-10000,-10000,0,1510755131435615
15,1000,1000,1000,1000,78,110,1000,101,98,88,151075513149123,-10000,-10000,-10000,0,1510755131470330
16,1000,1000,1000,1000,73,103,162,105,103,89,151075513152366,-10000,-10000,-10000,0,1510755131505024
17,1000,1000,1000,137,69,88,105,108,97,90,151075513155539,-10000,-10000,-10000,0,1510755131539654
18,1000,1000,1000,96,121,97,118,97,1000,91,151075513160336,-10000,-10000,-10000,0,1510755131591738
19,1000,1000,1000,77,102,1000,117,15,1000,92,151075513163536,-10000,-10000,-10000,0,1510755131626448
20,1000,1000,1000,115,156,1000,79,1000,1000,93,151075513168318,-10000,-10000,-10000,0,1510755131661097
21,1000,1000,1000,179,1000,1000,109,1000,1000,94,151075513171526,-10000,-10000,-10000,0,1510755131695762
