,s1,s2,s3,s4,s5,s6,s7,s8,s9,frameID,sens_timestamp,x,y,z,isLeft,GT_timestamp
0,1000,1000,1000,1000,1000,1000,193,1000,1000,99,151075513190692,-131.860549927,180.269775391,102.461349487,1,1510755131886510
1,1000,1000,1000,211,1000,1000,146,1000,1000,100,151075513195484,-111.975059509,164.60307312,106.537727356,1,1510755131921256
2,1000,1000,1000,152,1000,1000,150,186,1000,101,151075513198680,-100.66242981,153.418045044,102.73072052,1,1510755131955925
3,1000,1000,1000,139,162,1000,114,125,1000,102,151075513203475,-36.4326438904,123.668449402,94.7149429321,1,1510755132025312
4,1000,1000,1000,93,119,1000,1000,113,112,103,151075513206793,1.84703707695,111.842910767,83.5619506836,1,1510755132060006
5,82,1000,1000,255,78,68,1000,77,88,104,151075513211458,45.4497413635,102.517059326,74.0895233154,1,1510755132094709
6,1000,1000,122,1000,1000,104,1000,1000,1000,105,151075513214660,89.236579895,94.6129760742,67.4615402222,1,1510755132129398
