,s1,s2,s3,s4,s5,s6,s7,s8,s9,frameID,sens_timestamp,x,y,z,isLeft,GT_timestamp
0,1000,1000,1000,1000,1000,1000,1000,1000,207,25,151075512903031,-10000.0,-10000.0,-10000.0,0,1510755129007369
1,1000,1000,1000,1000,1000,134,1000,1000,142,26,151075512906240,76.6056442261,77.6165161133,-63.9981422424,1,1510755129042169
2,178,95,130,1000,1000,131,1000,150,176,27,151075512911017,-6.88381147385,101.182884216,-14.8826875687,1,1510755129094129
3,66,104,1000,111,119,1000,134,140,1000,28,151075512914206,-43.7232818604,93.4432144165,1.43789339066,1,1510755129128736
4,99,1000,1000,107,1000,1000,112,1000,1000,29,151075512918989,-78.2499313354,94.2876205444,62.4163665771,1,1510755129180823
5,73,1000,1000,95,1000,1000,120,1000,1000,30,151075512922200,-87.7142105103,96.5175552368,65.7801132202,1,1510755129198187
6,95,1000,1000,102,1000,1000,128,1000,1000,31,151075512926968,-101.355941772,102.506446838,70.0685653687,1,1510755129250218
7,138,1000,1000,117,1000,1000,129,1000,1000,32,151075512930192,-105.694908142,102.744308472,72.7455749512,1,1510755129284929
8,118,1000,1000,105,1000,1000,122,1000,1000,33,151075512933406,-95.3056259155,103.213180542,67.3849411011,1,1510755129319642
9,96,1000,1000,98,1000,1000,116,1000,1000,34,151075512938194,-78.0660476685,104.943969727,53.0277786255,1,1510755129371551
10,104,1000,1000,109,146,1000,114,183,1000,35,151075512941589,-60.034236908,108.311828613,42.8995323181,1,1510755129406291
11,108,130,1000,120,120,1000,162,137,1000,36,151075512946161,-36.6785697937,107.461341858,30.9354286194,1,1510755129441033
12,78,107,1000,137,119,1000,1000,136,181,37,151075512949385,-9.46322345734,111.072097778,19.7598457336,1,1510755129475694
13,142,101,114,1000,117,133,1000,155,150,38,151075512954140,37.2686347961,122.373908997,2.81384706497,1,1510755129527726
14,1000,152,130,1000,1000,131,1000,220,138,39,151075512957362,73.7100219727,115.705467224,-2.44250512123,1,1510755129562419
15,1000,1000,113,1000,1000,154,1000,1000,200,40,151075512960592,105.488563538,115.200584412,-7.9006690979,1,1510755129597062
16,1000,1000,1000,1000,1000,1000,1000,1000,214,41,151075512965360,144.932907104,112.950050354,-4.92077207565,1,1510755129631811
